X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
7,5,3,2,86.2,26.2,94.3,5.1,8.2,51,6.7,0,1
7,4,3,2,90.6,35.4,669.1,6.7,18,33,0.9,0,0
7,4,3,3,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0
8,6,3,4,91.7,33.3,77.5,9,8.3,97,4,0.2,0
8,6,3,5,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0
8,6,3,6,92.3,85.3,488,14.7,22.2,29,5.4,0,0
8,6,3,7,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0
8,6,4,1,91.5,145.4,608.2,10.7,8,86,2.2,0,0
8,6,4,2,91,129.5,692.6,7,13.1,63,5.4,0,0
8,6,4,3,91,130.1,692.6,7.1,17.8,51,7.2,0,0
8,6,4,4,91,130.1,692.6,7.1,20.6,35,4,0,0
8,6,4,5,91,130.1,692.6,7.1,21.9,32,2.7,0,0
8,6,4,6,91,130.1,692.6,7.1,22.7,29,2.7,0,0
8,6,4,7,91,130.1,692.6,7.1,23.5,27,3.6,0,0
8,6,5,1,91,130.1,692.6,7.1,24.3,25,4.5,0,0
8,6,5,2,91,130.1,692.6,7.1,25.1,23,5.4,0,0
8,6,5,3,91,130.1,692.6,7.1,25.9,21,6.3,0,0
8,6,5,4,91,130.1,692.6,7.1,26.7,19,7.2,0,0
8,6,5,5,91,130.1,692.6,7.1,27.5,17,8.1,0,0
8,6,5,6,91,130.1,692.6,7.1,28.3,15,9,0,0
8,6,5,7,91,130.1,692.6,7.1,29.1,13,9.9,0,0
